dataset,curve_metric,num_drugs
beataml,aac,108
beataml,auc,108
beataml,dss,108
beataml,fit_auc,108
beataml,fit_ec50,108
beataml,fit_ec50se,108
beataml,fit_einf,108
beataml,fit_hs,108
beataml,fit_ic50,108
beataml,fit_r2,108
mpnst,aac,25
mpnst,auc,25
mpnst,dss,25
mpnst,fit_auc,25
mpnst,fit_ec50,25
mpnst,fit_ec50se,25
mpnst,fit_einf,25
mpnst,fit_hs,25
mpnst,fit_ic50,25
mpnst,fit_r2,25
pancpdo,aac,5
pancpdo,auc,5
pancpdo,dss,5
pancpdo,fit_auc,5
pancpdo,fit_ec50,5
pancpdo,fit_ec50se,5
pancpdo,fit_einf,5
pancpdo,fit_hs,5
pancpdo,fit_ic50,5
pancpdo,fit_r2,5
sarcpdo,published_auc,33
colorectal,aac,10
colorectal,auc,10
colorectal,dss,10
colorectal,fit_auc,10
colorectal,fit_ec50,10
colorectal,fit_ec50se,10
colorectal,fit_einf,10
colorectal,fit_hs,10
colorectal,fit_ic50,10
colorectal,fit_r2,10
bladderpdo,aac,50
bladderpdo,auc,50
bladderpdo,dss,50
bladderpdo,fit_auc,50
bladderpdo,fit_ec50,50
bladderpdo,fit_ec50se,50
bladderpdo,fit_einf,50
bladderpdo,fit_hs,50
bladderpdo,fit_ic50,50
bladderpdo,fit_r2,50
liver,aac,73
liver,auc,73
liver,dss,73
liver,fit_auc,73
liver,fit_ec50,73
liver,fit_ec50se,73
liver,fit_einf,73
liver,fit_hs,73
liver,fit_ic50,73
liver,fit_r2,73
novartis,TGI,23
novartis,abc,23
novartis,lmm,23
novartis,mRESCIST,23
ccle,aac,24
ccle,auc,24
ccle,dss,24
ccle,fit_auc,24
ccle,fit_ec50,24
ccle,fit_ec50se,24
ccle,fit_einf,24
ccle,fit_hs,24
ccle,fit_ic50,24
ccle,fit_r2,24
ctrpv2,aac,460
ctrpv2,auc,460
ctrpv2,dss,460
ctrpv2,fit_auc,460
ctrpv2,fit_ec50,460
ctrpv2,fit_ec50se,460
ctrpv2,fit_einf,460
ctrpv2,fit_hs,460
ctrpv2,fit_ic50,460
ctrpv2,fit_r2,460
fimm,aac,52
fimm,auc,52
fimm,dss,52
fimm,fit_auc,52
fimm,fit_ec50,52
fimm,fit_ec50se,52
fimm,fit_einf,52
fimm,fit_hs,52
fimm,fit_ic50,52
fimm,fit_r2,52
gdscv1,aac,293
gdscv1,auc,293
gdscv1,dss,293
gdscv1,fit_auc,293
gdscv1,fit_ec50,293
gdscv1,fit_ec50se,293
gdscv1,fit_einf,293
gdscv1,fit_hs,293
gdscv1,fit_ic50,293
gdscv1,fit_r2,293
gdscv2,aac,169
gdscv2,auc,169
gdscv2,dss,169
gdscv2,fit_auc,169
gdscv2,fit_ec50,169
gdscv2,fit_ec50se,169
gdscv2,fit_einf,169
gdscv2,fit_hs,169
gdscv2,fit_ic50,169
gdscv2,fit_r2,169
gcsi,aac,43
gcsi,auc,43
gcsi,dss,43
gcsi,fit_auc,43
gcsi,fit_ec50,43
gcsi,fit_ec50se,43
gcsi,fit_einf,43
gcsi,fit_hs,43
gcsi,fit_ic50,43
gcsi,fit_r2,43
prism,aac,1418
prism,auc,1418
prism,dss,1418
prism,fit_auc,1418
prism,fit_ec50,1418
prism,fit_ec50se,1418
prism,fit_einf,1418
prism,fit_hs,1418
prism,fit_ic50,1418
prism,fit_r2,1418
nci60,aac,54654
nci60,auc,54654
nci60,dss,54654
nci60,fit_auc,54654
nci60,fit_ec50,54654
nci60,fit_ec50se,54654
nci60,fit_einf,54654
nci60,fit_hs,54654
nci60,fit_ic50,54654
nci60,fit_r2,54654
