id	filename	md5	size	state	include
c2ca3123-f429-4de9-9769-f8b7ea045b70	79df119e-cd99-453c-b18b-81ca868d40c0.rna_seq.star_splice_junctions.tsv.gz	d1d76e90c2afba6065f56e3f0695688f	2953279	released	True
9ef1e7b6-d3d9-42ac-ab0c-0782eaa2fe41	79df119e-cd99-453c-b18b-81ca868d40c0.rna_seq.transcriptome.gdc_realn.bam	d1828d1392ed6a87d43c91b459f44152	9083312797	released	True
4ebabf8c-b6e4-4b7e-8f20-978c80fd09b7	79df119e-cd99-453c-b18b-81ca868d40c0.rna_seq.genomic.gdc_realn.bam	d4dae76432155de968547e11da2820a9	5073067749	released	True
3da23217-5126-4ef2-9779-5d2bb7167604	607e252c-188e-4b08-9f12-51aa9e791df0.rna_seq.star_splice_junctions.tsv.gz	63df67d33cfa475620c2f345558f5be3	2939613	released	True
2d2c48f4-9b1f-4ab7-a2f7-1aa118da08ad	607e252c-188e-4b08-9f12-51aa9e791df0.rna_seq.chimeric.gdc_realn.bam	bd6e8c90fdfb69c417b8c846f689f1d8	119536331	released	True
cabb1ea8-613e-4309-b990-8d3cee6b9cd1	607e252c-188e-4b08-9f12-51aa9e791df0.rna_seq.genomic.gdc_realn.bam	e0fe44b9271f7bb71ca1c643677d27fb	5207024433	released	True
f2ea9d08-0ac5-4cbc-adac-afb3d11c1971	5597c2cb-b42b-4f09-ad1c-2756994b3c8f.rna_seq.genomic.gdc_realn.bam	5393502f097ca79f67bb15a3bd4e75a9	5730089277	released	True
a29bbe70-ca5b-4bab-a8f8-40eb4d3cd092	e3fcb9aa-e800-429b-b316-fe5ed32417ee.rna_seq.genomic.gdc_realn.bam	82faa9c0fef68d3a58863c6047eb7792	6441297910	released	True
13bcaa2b-429d-4225-8c87-8e89d7312556	e3fcb9aa-e800-429b-b316-fe5ed32417ee.rna_seq.chimeric.gdc_realn.bam	4b6ee483ed19cac3f88729675719abec	180566165	released	True
de19254e-af4b-40dc-ada9-78bba5a2b309	e3fcb9aa-e800-429b-b316-fe5ed32417ee.rna_seq.star_splice_junctions.tsv.gz	61369620e23d94c284b350e629e31886	3162519	released	True
cbaf917c-928d-478b-9ee6-bacb2b522e00	f1a5c800-b63c-4f06-a2cb-4ded9da05b4b.rna_seq.transcriptome.gdc_realn.bam	17ccbdb41a85768d31bc1dbaf7914aa4	8474882728	released	True
